State,Year,Group_Name,Sub_Group_Name,Cases_Acquitted,Cases_Chargesheeted,Cases_Convicted,Pending_Investigation_End,Pending_Trial_End,Cases_Reported,Cases_Sent_for_Trial,Trials_Completed,Total_Cases_for_Trial
Jammu & Kashmir,2004,Rape,01. Rape,92,175,12,81,731,218,175,104,839
Jharkhand,2004,Rape,01. Rape,395,509,131,649,1913,797,509,526,2446
Karnataka,2004,Rape,01. Rape,297,270,64,100,1066,291,270,361,1432
Kerala,2004,Rape,01. Rape,260,390,56,529,2696,480,390,316,3018
Lakshadweep,2004,Rape,01. Rape,0,2,1,0,1,0,2,1,2
Madhya Pradesh,2004,Rape,01. Rape,2130,2815,669,155,6733,2875,2815,2799,9569
Maharashtra,2004,Rape,01. Rape,1033,1261,227,334,9948,1388,1261,1260,11225
Manipur,2004,Rape,01. Rape,2,2,0,54,46,31,2,2,48
Meghalaya,2004,Rape,01. Rape,2,24,2,120,284,54,24,4,288
Mizoram,2004,Rape,01. Rape,20,15,100,14,47,20,15,120,168
Nagaland,2004,Rape,01. Rape,0,29,40,7,46,18,29,40,86
Odisha,2004,Rape,01. Rape,550,679,116,273,2695,770,679,666,3361
Puducherry,2004,Rape,01. Rape,2,4,2,5,18,4,4,4,22
Punjab,2004,Rape,01. Rape,204,333,93,139,216,390,333,297,515
Rajasthan,2004,Rape,01. Rape,545,736,208,113,1922,1038,736,753,2690
Sikkim,2004,Rape,01. Rape,1,2,2,5,5,3,2,3,9
Tamil Nadu,2004,Rape,01. Rape,317,570,107,290,1455,618,570,424,1900
Tripura,2004,Rape,01. Rape,53,133,23,83,262,160,133,76,338
Uttar Pradesh,2004,Rape,01. Rape,622,1163,660,126,4647,1397,1163,1282,5943
Uttarakhand,2004,Rape,01. Rape,30,90,41,21,189,115,90,71,260
West Bengal,2004,Rape,01. Rape,582,1244,135,822,6291,1475,1244,717,7008
Andaman & Nicobar Islands,2005,Rape,01. Rape,3,8,1,3,33,4,8,4,37
Andhra Pradesh,2005,Rape,01. Rape,667,933,154,528,2077,935,933,821,2912
Arunachal Pradesh,2005,Rape,01. Rape,4,32,15,16,374,35,32,19,393
Assam,2005,Rape,01. Rape,367,867,170,1562,2984,1238,867,537,3571
Bihar,2005,Rape,01. Rape,692,823,145,1315,3216,1147,823,837,4054
Chandigarh,2005,Rape,01. Rape,10,20,4,11,54,33,20,14,68
Chhattisgarh,2005,Rape,01. Rape,603,919,338,119,2955,990,919,941,3905
Dadra & Nagar Haveli,2005,Rape,01. Rape,6,6,0,2,7,5,6,6,13
Daman & Diu,2005,Rape,01. Rape,3,0,0,2,3,2,0,3,6
Delhi,2005,Rape,01. Rape,745,570,140,268,1060,658,570,885,1945
Goa,2005,Rape,01. Rape,13,18,7,18,47,20,18,20,68
Gujarat,2005,Rape,01. Rape,186,286,37,40,2031,324,286,223,2257
Haryana,2005,Rape,01. Rape,229,375,96,43,568,461,375,325,893
Himachal Pradesh,2005,Rape,01. Rape,121,123,24,37,378,141,123,145,525
Jammu & Kashmir,2005,Rape,01. Rape,111,174,5,71,789,201,174,116,905
Jharkhand,2005,Rape,01. Rape,411,595,117,696,1968,753,595,528,2508
Karnataka,2005,Rape,01. Rape,284,296,87,115,991,343,296,371,1362
Kerala,2005,Rape,01. Rape,286,451,48,524,2809,478,451,334,3147
Lakshadweep,2005,Rape,01. Rape,0,0,0,0,1,0,0,0,1
Madhya Pradesh,2005,Rape,01. Rape,2005,2780,702,188,6689,2921,2780,2707,9513
Maharashtra,2005,Rape,01. Rape,991,1441,177,386,10208,1545,1441,1168,11389
Manipur,2005,Rape,01. Rape,1,7,0,65,52,25,7,1,53
Meghalaya,2005,Rape,01. Rape,1,37,2,133,318,63,37,3,321
Mizoram,2005,Rape,01. Rape,5,33,15,16,55,37,33,20,80
Nagaland,2005,Rape,01. Rape,10,9,15,7,30,17,9,25,55
Odisha,2005,Rape,01. Rape,445,681,114,331,2817,799,681,559,3376
Puducherry,2005,Rape,01. Rape,1,6,3,5,20,6,6,4,24
Punjab,2005,Rape,01. Rape,171,328,71,140,301,398,328,242,544
Rajasthan,2005,Rape,01. Rape,600,772,227,50,1840,993,772,827,2694
Sikkim,2005,Rape,01. Rape,0,13,3,8,15,18,13,3,18
Tamil Nadu,2005,Rape,01. Rape,469,507,141,274,1338,571,507,610,1962
Tripura,2005,Rape,01. Rape,86,144,35,84,285,162,144,121,406
Uttar Pradesh,2005,Rape,01. Rape,631,1029,657,116,4360,1217,1029,1288,5676
Uttarakhand,2005,Rape,01. Rape,40,119,21,19,244,133,119,61,308
West Bengal,2005,Rape,01. Rape,473,1649,74,781,7393,1686,1649,547,7940
Andaman & Nicobar Islands,2006,Rape,01. Rape,2,7,1,2,37,6,7,3,40
Andhra Pradesh,2006,Rape,01. Rape,696,821,154,659,2044,1049,821,850,2898
Arunachal Pradesh,2006,Rape,01. Rape,1,29,1,19,400,37,29,2,403
Assam,2006,Rape,01. Rape,410,794,176,1757,3168,1244,794,586,3778
Bihar,2006,Rape,01. Rape,678,772,178,1479,3132,1232,772,856,3988
Chandigarh,2006,Rape,01. Rape,8,20,9,7,57,19,20,17,74
Chhattisgarh,2006,Rape,01. Rape,478,994,235,93,3160,995,994,713,3949
Dadra & Nagar Haveli,2006,Rape,01. Rape,4,3,1,5,5,6,3,5,10
Daman & Diu,2006,Rape,01. Rape,2,3,1,2,3,3,3,3,6
Delhi,2006,Rape,01. Rape,456,798,152,72,1250,623,798,608,1858
Goa,2006,Rape,01. Rape,6,14,0,18,55,21,14,6,61
Gujarat,2006,Rape,01. Rape,157,332,50,44,2152,354,332,207,2363
Haryana,2006,Rape,01. Rape,241,497,97,84,727,608,497,338,1065
Himachal Pradesh,2006,Rape,01. Rape,75,96,27,36,371,113,96,102,474
Jammu & Kashmir,2006,Rape,01. Rape,108,211,13,84,877,250,211,121,1000
Jharkhand,2006,Rape,01. Rape,654,599,185,809,1726,799,599,839,2567
Karnataka,2006,Rape,01. Rape,288,351,51,126,982,400,351,339,1342
Kerala,2006,Rape,01. Rape,296,495,58,578,2949,601,495,354,3304
Lakshadweep,2006,Rape,01. Rape,0,0,0,0,1,0,0,0,1
Madhya Pradesh,2006,Rape,01. Rape,1877,2779,748,194,6830,2900,2779,2625,9468
Maharashtra,2006,Rape,01. Rape,884,1351,163,487,10503,1500,1351,1047,11559
Manipur,2006,Rape,01. Rape,1,2,0,91,52,40,2,1,54
Meghalaya,2006,Rape,01. Rape,12,35,2,150,338,74,35,14,353
Mizoram,2006,Rape,01. Rape,6,69,68,10,50,72,69,74,124
Nagaland,2006,Rape,01. Rape,1,20,11,10,37,23,20,12,50
Odisha,2006,Rape,01. Rape,365,790,135,480,3107,985,790,500,3607
Puducherry,2006,Rape,01. Rape,1,6,1,8,24,9,6,2,26
Punjab,2006,Rape,01. Rape,178,373,90,141,406,442,373,268,674
Rajasthan,2006,Rape,01. Rape,499,740,262,79,1803,1085,740,761,2580
Sikkim,2006,Rape,01. Rape,1,16,1,12,29,20,16,2,31
Tamil Nadu,2006,Rape,01. Rape,358,413,108,288,1281,457,413,466,1751
Tripura,2006,Rape,01. Rape,52,177,25,82,385,189,177,77,462
Uttar Pradesh,2006,Rape,01. Rape,601,1094,637,103,4208,1314,1094,1238,5454
Uttarakhand,2006,Rape,01. Rape,68,128,29,20,274,147,128,97,372
West Bengal,2006,Rape,01. Rape,747,1520,137,898,8029,1731,1520,884,8913
Andaman & Nicobar Islands,2007,Rape,01. Rape,2,3,1,2,37,3,3,3,40
Andhra Pradesh,2007,Rape,01. Rape,834,1066,128,551,2145,1070,1066,962,3110
Arunachal Pradesh,2007,Rape,01. Rape,2,29,5,27,422,48,29,7,429
Assam,2007,Rape,01. Rape,466,904,191,1965,3387,1437,904,657,4072
Bihar,2007,Rape,01. Rape,659,1103,167,1417,3408,1555,1103,826,4235
Chandigarh,2007,Rape,01. Rape,8,19,11,9,57,22,19,19,76
Chhattisgarh,2007,Rape,01. Rape,506,939,162,107,3427,982,939,668,4099
Dadra & Nagar Haveli,2007,Rape,01. Rape,2,6,0,6,9,7,6,2,11
Daman & Diu,2007,Rape,01. Rape,2,1,0,2,2,1,1,2,4
Delhi,2007,Rape,01. Rape,426,541,163,104,1202,598,541,589,1791
Goa,2007,Rape,01. Rape,5,15,1,22,64,20,15,6,70
Gujarat,2007,Rape,01. Rape,150,289,50,48,2238,316,289,200,2441
Haryana,2007,Rape,01. Rape,260,432,114,64,785,488,432,374,1159
Himachal Pradesh,2007,Rape,01. Rape,69,105,14,58,390,159,105,83,476
Jammu & Kashmir,2007,Rape,01. Rape,129,238,8,90,978,288,238,137,1115
Jharkhand,2007,Rape,01. Rape,535,692,318,856,1557,855,692,853,2418
Karnataka,2007,Rape,01. Rape,235,364,59,146,1049,436,364,294,1346
Kerala,2007,Rape,01. Rape,448,546,74,510,2968,512,546,522,3495
Lakshadweep,2007,Rape,01. Rape,0,1,0,0,2,1,1,0,2
Madhya Pradesh,2007,Rape,01. Rape,1950,2898,688,204,7084,3010,2898,2638,9728
Maharashtra,2007,Rape,01. Rape,754,1404,151,470,10992,1451,1404,905,11907
Manipur,2007,Rape,01. Rape,2,2,0,101,51,20,2,2,54
Meghalaya,2007,Rape,01. Rape,7,32,8,189,355,82,32,15,370
Mizoram,2007,Rape,01. Rape,7,78,28,13,93,83,78,35,128
Nagaland,2007,Rape,01. Rape,2,12,26,9,20,13,12,28,49
Odisha,2007,Rape,01. Rape,434,784,175,590,3280,939,784,609,3891
Puducherry,2007,Rape,01. Rape,3,9,4,8,26,9,9,7,33
Punjab,2007,Rape,01. Rape,199,392,76,202,522,519,392,275,798
Rajasthan,2007,Rape,01. Rape,403,854,236,93,2003,1238,854,639,2657
Sikkim,2007,Rape,01. Rape,3,19,0,17,44,24,19,3,48
Tamil Nadu,2007,Rape,01. Rape,311,434,87,345,1311,523,434,398,1715
Tripura,2007,Rape,01. Rape,126,180,30,55,409,157,180,156,565
Uttar Pradesh,2007,Rape,01. Rape,542,1293,573,98,4380,1648,1293,1115,5501
Uttarakhand,2007,Rape,01. Rape,64,101,48,18,263,117,101,112,375
West Bengal,2007,Rape,01. Rape,737,1832,101,1070,9023,2106,1832,838,9861
Andaman & Nicobar Islands,2008,Rape,01. Rape,5,2,0,12,34,12,2,5,39
Andhra Pradesh,2008,Rape,01. Rape,712,1083,100,617,2412,1257,1083,812,3228
Arunachal Pradesh,2008,Rape,01. Rape,1,22,1,28,442,42,22,2,444
Assam,2008,Rape,01. Rape,494,988,94,2089,3767,1438,988,588,4375
Bihar,2008,Rape,01. Rape,561,921,168,1291,3598,1302,921,729,4329
Chandigarh,2008,Rape,01. Rape,12,19,5,7,59,20,19,17,76
Chhattisgarh,2008,Rape,01. Rape,680,922,206,134,3395,978,922,886,4349
Dadra & Nagar Haveli,2008,Rape,01. Rape,5,7,0,5,11,6,7,5,16
Daman & Diu,2008,Rape,01. Rape,2,0,0,1,0,0,0,2,2
Delhi,2008,Rape,01. Rape,261,478,115,69,1304,466,478,376,1680
Goa,2008,Rape,01. Rape,17,21,6,29,62,30,21,23,85
Gujarat,2008,Rape,01. Rape,165,328,48,54,2348,374,328,213,2566
Haryana,2008,Rape,01. Rape,326,508,128,89,839,631,508,454,1293
Himachal Pradesh,2008,Rape,01. Rape,87,115,29,76,388,157,115,116,505
Jammu & Kashmir,2008,Rape,01. Rape,131,142,10,110,977,219,142,141,1120
Jharkhand,2008,Rape,01. Rape,494,768,136,745,1653,791,768,630,2325
Karnataka,2008,Rape,01. Rape,291,412,45,123,1121,446,412,336,1461
Kerala,2008,Rape,01. Rape,247,467,38,566,3149,568,467,285,3435
Lakshadweep,2008,Rape,01. Rape,0,1,1,0,2,2,1,1,3
Madhya Pradesh,2008,Rape,01. Rape,1892,2791,839,247,7132,2937,2791,2731,9875
Maharashtra,2008,Rape,01. Rape,889,1449,160,531,11379,1558,1449,1049,12441
Manipur,2008,Rape,01. Rape,0,6,0,127,57,38,6,0,57
Meghalaya,2008,Rape,01. Rape,15,41,11,231,370,88,41,26,396
Mizoram,2008,Rape,01. Rape,7,69,85,21,70,77,69,92,162
Nagaland,2008,Rape,01. Rape,2,18,13,7,22,19,18,15,38
Odisha,2008,Rape,01. Rape,486,883,159,778,3518,1113,883,645,4163
Puducherry,2008,Rape,01. Rape,2,6,0,10,30,8,6,2,32
Punjab,2008,Rape,01. Rape,290,442,149,178,523,517,442,439,964
Rajasthan,2008,Rape,01. Rape,431,857,232,119,2183,1355,857,663,2860
Sikkim,2008,Rape,01. Rape,2,20,5,17,57,20,20,7,64
Tamil Nadu,2008,Rape,01. Rape,323,466,109,403,1341,573,466,432,1777
Tripura,2008,Rape,01. Rape,61,185,23,63,508,204,185,84,594
Uttar Pradesh,2008,Rape,01. Rape,693,1405,681,108,4407,1871,1405,1374,5785
Uttarakhand,2008,Rape,01. Rape,68,79,39,13,235,87,79,107,342
West Bengal,2008,Rape,01. Rape,767,1693,138,1456,9809,2263,1693,905,10716
Andaman & Nicobar Islands,2009,Rape,01. Rape,2,14,1,13,45,18,14,3,48
Andhra Pradesh,2009,Rape,01. Rape,849,965,118,730,2406,1188,965,967,3377
Arunachal Pradesh,2009,Rape,01. Rape,2,46,3,29,483,59,46,5,488
Assam,2009,Rape,01. Rape,371,1004,128,2343,4225,1631,1004,499,4771
Bihar,2009,Rape,01. Rape,560,763,178,1118,3621,929,763,738,4361
Chandigarh,2009,Rape,01. Rape,12,17,16,17,48,29,17,28,76
