State,Year,Group_Name,Sub_Group,Acquitted,Withdrawn,Arrested,Chargesheeted,Convicted,Released_Before_Trial,Trial_Completed,Persons_Under_Trial_At_Year_Beginning,Total_Persons_Under_Trial,High_Crime_Area
Sikkim,2010,Cruelty by Husband and Relatives,06. Cruelty by Husband and Relatives,0,0,4,3,0,0,0,10,13,False
Tamil Nadu,2010,Cruelty by Husband and Relatives,06. Cruelty by Husband and Relatives,1917,2,2981,2860,519,37,2436,6901,9761,True
Tripura,2010,Cruelty by Husband and Relatives,06. Cruelty by Husband and Relatives,632,135,1172,873,67,172,699,1382,2255,True
Uttar Pradesh,2010,Cruelty by Husband and Relatives,06. Cruelty by Husband and Relatives,10430,1162,29853,22468,11741,7208,22171,55307,77775,True
Uttarakhand,2010,Cruelty by Husband and Relatives,06. Cruelty by Husband and Relatives,586,69,625,588,518,27,1104,2954,3542,True
West Bengal,2010,Cruelty by Husband and Relatives,06. Cruelty by Husband and Relatives,7768,554,18387,19464,211,779,7979,74494,93958,True
Andaman & Nicobar Islands,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2001,Importation of Girls,07. Importation of Girls,0,0,6,4,0,0,0,0,4,False
Arunachal Pradesh,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Bihar,2001,Importation of Girls,07. Importation of Girls,14,0,179,100,0,6,14,61,161,True
Chandigarh,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Dadra & Nagar Haveli,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2001,Importation of Girls,07. Importation of Girls,43,0,8,8,27,0,70,81,89,True
Karnataka,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Maharashtra,2001,Importation of Girls,07. Importation of Girls,0,0,11,11,0,0,0,0,11,True
Manipur,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Nagaland,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Odisha,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,13,13,False
Puducherry,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2001,Importation of Girls,07. Importation of Girls,0,0,2,2,0,0,0,0,2,False
Sikkim,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2001,Importation of Girls,07. Importation of Girls,4,0,12,12,2,0,6,0,12,True
Tripura,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttarakhand,2001,Importation of Girls,07. Importation of Girls,0,0,0,0,5,0,5,15,15,False
West Bengal,2001,Importation of Girls,07. Importation of Girls,0,0,2,1,0,0,0,5,6,False
Andaman & Nicobar Islands,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,2,0,4,4,False
Arunachal Pradesh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Bihar,2002,Importation of Girls,07. Importation of Girls,18,0,63,96,0,19,18,147,243,True
Chandigarh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Dadra & Nagar Haveli,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2002,Importation of Girls,07. Importation of Girls,16,0,33,29,12,0,28,15,44,True
Karnataka,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Maharashtra,2002,Importation of Girls,07. Importation of Girls,11,0,0,0,0,0,11,11,11,False
Manipur,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2002,Importation of Girls,07. Importation of Girls,0,0,1,1,1,0,1,0,1,False
Nagaland,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Odisha,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,13,13,False
Puducherry,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2002,Importation of Girls,07. Importation of Girls,2,0,0,0,0,0,2,2,2,False
Sikkim,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2002,Importation of Girls,07. Importation of Girls,6,0,0,0,0,0,6,6,6,False
Tripura,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2002,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttarakhand,2002,Importation of Girls,07. Importation of Girls,7,0,2,2,5,0,12,10,12,False
West Bengal,2002,Importation of Girls,07. Importation of Girls,0,0,2,1,0,0,0,6,7,False
Andaman & Nicobar Islands,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2003,Importation of Girls,07. Importation of Girls,2,0,1,1,2,0,4,4,5,False
Arunachal Pradesh,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Bihar,2003,Importation of Girls,07. Importation of Girls,14,0,48,65,0,5,14,225,290,True
Chandigarh,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Dadra & Nagar Haveli,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2003,Importation of Girls,07. Importation of Girls,22,0,0,6,0,0,22,16,22,False
Karnataka,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Maharashtra,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Manipur,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2003,Importation of Girls,07. Importation of Girls,0,0,1,1,1,0,1,0,1,False
Nagaland,2003,Importation of Girls,07. Importation of Girls,0,0,1,0,0,0,0,0,0,False
Odisha,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,13,13,False
Puducherry,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2003,Importation of Girls,07. Importation of Girls,0,0,3,3,0,0,0,0,3,False
Sikkim,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tripura,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttarakhand,2003,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
West Bengal,2003,Importation of Girls,07. Importation of Girls,0,0,1,0,0,0,0,7,7,False
Andaman & Nicobar Islands,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2004,Importation of Girls,07. Importation of Girls,1,0,5,5,0,0,1,1,6,False
Arunachal Pradesh,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Bihar,2004,Importation of Girls,07. Importation of Girls,8,0,39,39,0,0,8,276,315,True
Chandigarh,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Dadra & Nagar Haveli,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Karnataka,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Maharashtra,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Manipur,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Nagaland,2004,Importation of Girls,07. Importation of Girls,0,0,0,1,1,0,1,0,1,False
Odisha,2004,Importation of Girls,07. Importation of Girls,13,0,0,0,0,0,13,13,13,False
Puducherry,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2004,Importation of Girls,07. Importation of Girls,5,0,5,5,0,0,5,3,8,False
Sikkim,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tripura,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2004,Importation of Girls,07. Importation of Girls,0,7,7,7,0,0,0,0,7,True
Uttarakhand,2004,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
West Bengal,2004,Importation of Girls,07. Importation of Girls,2,0,12,2,0,0,2,7,9,True
Andaman & Nicobar Islands,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2005,Importation of Girls,07. Importation of Girls,3,0,5,5,0,0,3,5,10,False
Arunachal Pradesh,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2005,Importation of Girls,07. Importation of Girls,0,0,3,3,0,0,0,0,3,False
Bihar,2005,Importation of Girls,07. Importation of Girls,14,0,90,62,9,3,23,307,369,True
Chandigarh,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Dadra & Nagar Haveli,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2005,Importation of Girls,07. Importation of Girls,0,0,35,11,0,9,0,0,11,True
Karnataka,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2005,Importation of Girls,07. Importation of Girls,0,0,4,4,0,0,0,0,4,False
Maharashtra,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Manipur,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Nagaland,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Odisha,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Puducherry,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,3,0,3,3,3,False
Sikkim,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tripura,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttarakhand,2005,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
West Bengal,2005,Importation of Girls,07. Importation of Girls,2,0,75,5,0,0,2,7,12,True
Andaman & Nicobar Islands,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2006,Importation of Girls,07. Importation of Girls,5,0,0,0,0,0,5,7,7,False
Arunachal Pradesh,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,3,3,False
Bihar,2006,Importation of Girls,07. Importation of Girls,20,0,68,60,13,0,33,346,406,True
Chandigarh,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2006,Importation of Girls,07. Importation of Girls,0,0,3,3,0,0,0,0,3,False
Dadra & Nagar Haveli,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2006,Importation of Girls,07. Importation of Girls,25,0,0,15,0,0,25,11,26,False
Karnataka,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,4,4,False
Maharashtra,2006,Importation of Girls,07. Importation of Girls,0,0,2,2,0,0,0,0,2,False
Manipur,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Nagaland,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Odisha,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Puducherry,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2006,Importation of Girls,07. Importation of Girls,0,0,6,0,0,0,0,0,0,False
Rajasthan,2006,Importation of Girls,07. Importation of Girls,2,0,4,4,0,0,2,0,4,False
Sikkim,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tripura,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttarakhand,2006,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
West Bengal,2006,Importation of Girls,07. Importation of Girls,3,0,2,23,1,1,4,10,33,False
Andaman & Nicobar Islands,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,2,2,False
Arunachal Pradesh,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,3,3,False
Bihar,2007,Importation of Girls,07. Importation of Girls,43,0,87,83,10,2,53,373,456,True
Chandigarh,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2007,Importation of Girls,07. Importation of Girls,3,0,0,0,0,0,3,3,3,False
Dadra & Nagar Haveli,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,1,1,False
Karnataka,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,4,4,False
Maharashtra,2007,Importation of Girls,07. Importation of Girls,2,0,0,0,0,0,2,2,2,False
Manipur,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Nagaland,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Odisha,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Puducherry,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,2,2,False
Sikkim,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tripura,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttarakhand,2007,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
West Bengal,2007,Importation of Girls,07. Importation of Girls,10,0,8,44,0,8,10,29,73,True
Andaman & Nicobar Islands,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Andhra Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,2,2,False
Arunachal Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Assam,2008,Importation of Girls,07. Importation of Girls,2,0,0,0,0,0,2,3,3,False
Bihar,2008,Importation of Girls,07. Importation of Girls,37,0,56,64,4,0,41,403,467,True
Chandigarh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Chhattisgarh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Dadra & Nagar Haveli,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Daman & Diu,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Delhi,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Goa,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Gujarat,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Haryana,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Himachal Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jammu & Kashmir,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Jharkhand,2008,Importation of Girls,07. Importation of Girls,19,0,63,61,4,0,23,1,62,True
Karnataka,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Kerala,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Lakshadweep,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Madhya Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,4,4,False
Maharashtra,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Manipur,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Meghalaya,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Mizoram,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Nagaland,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Odisha,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Puducherry,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Punjab,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Rajasthan,2008,Importation of Girls,07. Importation of Girls,1,0,0,0,0,0,1,2,2,False
Sikkim,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tamil Nadu,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Tripura,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
Uttar Pradesh,2008,Importation of Girls,07. Importation of Girls,0,0,0,0,0,0,0,0,0,False
